# Energy	Effective Area
22.020	2.975667e-01
22.140	2.937438e-01
22.260	2.899828e-01
22.380	2.862547e-01
22.500	2.826141e-01
22.620	2.790324e-01
22.740	2.754821e-01
22.860	2.720151e-01
22.980	2.686040e-01
23.100	2.652227e-01
23.220	2.619207e-01
23.340	2.586719e-01
23.460	2.554750e-01
23.580	2.523296e-01
23.700	2.492113e-01
23.820	2.461660e-01
23.940	2.431694e-01
24.060	2.401986e-01
24.180	2.372971e-01
24.300	2.344418e-01
24.420	2.316110e-01
24.540	2.288459e-01
24.660	2.261248e-01
24.780	2.234268e-01
24.900	2.207912e-01
25.020	2.181973e-01
25.140	2.156252e-01
25.260	2.131125e-01
25.380	2.106393e-01
25.500	2.082047e-01
25.620	2.058082e-01
25.740	2.034315e-01
25.860	2.011094e-01
25.980	1.988234e-01
26.100	1.965560e-01
26.220	1.943405e-01
26.340	1.921592e-01
26.460	1.899955e-01
26.580	1.878811e-01
26.700	1.857991e-01
26.820	1.837337e-01
26.940	1.817151e-01
27.060	1.797274e-01
27.180	1.777552e-01
27.300	1.758275e-01
27.420	1.739290e-01
27.540	1.720592e-01
27.660	1.702175e-01
27.780	1.683900e-01
27.900	1.666034e-01
28.020	1.648436e-01
28.140	1.630970e-01
28.260	1.613893e-01
28.380	1.597071e-01
28.500	1.580373e-01
28.620	1.564046e-01
28.740	1.547960e-01
28.860	1.531991e-01
28.980	1.516375e-01
29.100	1.500987e-01
29.220	1.485711e-01
29.340	1.470769e-01
29.460	1.456045e-01
29.580	1.441534e-01
29.700	1.427232e-01
29.820	1.413031e-01
29.940	1.399138e-01
30.060	1.385443e-01
30.180	1.371839e-01
30.300	1.358529e-01
30.420	1.345410e-01
30.540	1.332379e-01
30.660	1.319629e-01
30.780	1.307059e-01
30.900	1.294573e-01
