# Energy	Effective Area
21.780	3.054368e-01
21.900	3.014801e-01
22.020	2.975569e-01
22.140	2.937273e-01
22.260	2.899597e-01
22.380	2.862528e-01
22.500	2.826059e-01
22.620	2.790177e-01
22.740	2.754876e-01
22.860	2.720142e-01
22.980	2.685970e-01
23.100	2.652347e-01
23.220	2.619267e-01
23.340	2.586717e-01
23.460	2.554692e-01
23.580	2.523181e-01
23.700	2.492175e-01
23.820	2.461666e-01
23.940	2.431646e-01
24.060	2.402105e-01
24.180	2.373036e-01
24.300	2.344430e-01
24.420	2.316281e-01
24.540	2.288362e-01
24.660	2.261102e-01
24.780	2.234275e-01
24.900	2.207872e-01
25.020	2.181887e-01
25.140	2.156311e-01
25.260	2.131138e-01
25.380	2.106360e-01
25.500	2.081972e-01
25.620	2.057964e-01
25.740	2.034333e-01
25.860	2.011069e-01
25.980	1.988168e-01
26.100	1.965622e-01
26.220	1.943427e-01
26.340	1.921574e-01
26.460	1.900059e-01
26.580	1.878874e-01
26.700	1.858016e-01
26.820	1.837477e-01
26.940	1.817254e-01
27.060	1.797182e-01
27.180	1.777572e-01
27.300	1.758261e-01
27.420	1.739242e-01
27.540	1.720511e-01
27.660	1.702061e-01
27.780	1.683891e-01
27.900	1.665992e-01
28.020	1.648363e-01
28.140	1.630996e-01
28.260	1.613889e-01
28.380	1.597035e-01
28.500	1.580432e-01
28.620	1.564075e-01
28.740	1.547959e-01
28.860	1.532080e-01
28.980	1.516434e-01
29.100	1.501018e-01
29.220	1.485827e-01
29.340	1.470740e-01
29.460	1.455989e-01
29.580	1.441452e-01
29.700	1.427125e-01
29.820	1.413006e-01
29.940	1.399088e-01
30.060	1.385369e-01
30.180	1.371842e-01
30.300	1.358509e-01
30.420	1.345365e-01
30.540	1.332408e-01
30.660	1.319635e-01
