# Energy	Effective Area
15.930	5.948980e-01
15.990	5.908415e-01
16.050	5.868682e-01
16.110	5.829150e-01
16.170	5.789197e-01
16.230	5.749456e-01
16.290	5.710543e-01
16.350	5.671840e-01
16.410	5.632739e-01
16.470	5.593857e-01
16.530	5.555799e-01
16.590	5.517958e-01
16.650	5.479738e-01
16.710	5.441745e-01
16.770	5.404567e-01
16.830	5.367612e-01
16.890	5.330297e-01
16.950	5.293214e-01
17.010	5.256935e-01
17.070	5.220883e-01
17.130	5.184490e-01
17.190	5.148331e-01
17.250	5.112406e-01
17.310	5.077272e-01
17.370	5.042367e-01
17.430	5.007142e-01
17.490	4.972152e-01
17.550	4.937939e-01
17.610	4.903957e-01
17.670	4.869669e-01
17.730	4.835617e-01
17.790	4.802328e-01
17.850	4.769269e-01
17.910	4.735918e-01
17.970	4.702803e-01
18.030	4.670435e-01
18.090	4.638296e-01
18.150	4.605878e-01
18.210	4.573695e-01
18.270	4.541745e-01
18.330	4.510522e-01
18.390	4.479525e-01
18.450	4.448265e-01
18.510	4.417237e-01
18.570	4.386918e-01
18.630	4.356822e-01
18.690	4.326475e-01
18.750	4.296356e-01
18.810	4.266929e-01
18.870	4.237723e-01
18.930	4.208275e-01
18.990	4.179053e-01
19.050	4.150504e-01
19.110	4.122172e-01
19.170	4.093610e-01
19.230	4.065268e-01
19.290	4.037582e-01
19.350	4.010109e-01
19.410	3.982414e-01
19.470	3.954936e-01
19.530	3.927672e-01
19.590	3.901043e-01
19.650	3.874620e-01
19.710	3.847987e-01
19.770	3.821564e-01
19.830	3.795758e-01
19.890	3.770154e-01
19.950	3.744347e-01
20.010	3.718747e-01
20.070	3.693747e-01
20.130	3.668944e-01
20.190	3.643947e-01
20.250	3.619150e-01
20.310	3.594934e-01
20.370	3.570910e-01
20.430	3.546698e-01
20.490	3.522682e-01
20.550	3.499229e-01
20.610	3.475963e-01
20.670	3.452516e-01
20.730	3.429259e-01
20.790	3.406190e-01
20.850	3.383663e-01
20.910	3.361317e-01
20.970	3.338798e-01
21.030	3.316462e-01
21.090	3.294652e-01
21.150	3.273017e-01
21.210	3.251215e-01
21.270	3.229591e-01
21.330	3.208475e-01
21.390	3.187530e-01
21.450	3.166425e-01
21.510	3.145491e-01
21.570	3.125050e-01
21.630	3.104775e-01
21.690	3.084344e-01
21.750	3.064079e-01
21.810	3.044293e-01
21.870	3.024666e-01
21.930	3.004889e-01
21.990	2.985273e-01
22.050	2.965818e-01
22.110	2.946821e-01
22.170	2.927978e-01
22.230	2.908991e-01
22.290	2.890159e-01
22.350	2.871771e-01
22.410	2.853532e-01
22.470	2.835153e-01
22.530	2.816924e-01
22.590	2.799125e-01
22.650	2.781469e-01
22.710	2.763679e-01
22.770	2.746033e-01
22.830	2.728804e-01
22.890	2.711713e-01
22.950	2.694492e-01
23.010	2.677411e-01
23.070	2.660732e-01
23.130	2.644188e-01
23.190	2.627517e-01
23.250	2.610981e-01
23.310	2.594580e-01
23.370	2.578566e-01
23.430	2.562680e-01
23.490	2.546672e-01
23.550	2.530793e-01
23.610	2.515289e-01
23.670	2.499909e-01
23.730	2.484410e-01
23.790	2.469037e-01
23.850	2.454025e-01
23.910	2.439134e-01
23.970	2.424128e-01
24.030	2.409242e-01
24.090	2.394707e-01
24.150	2.380288e-01
24.210	2.365756e-01
24.270	2.351342e-01
24.330	2.337267e-01
24.390	2.323303e-01
24.450	2.309231e-01
24.510	2.295272e-01
24.570	2.281425e-01
24.630	2.267903e-01
24.690	2.254488e-01
24.750	2.240969e-01
24.810	2.227557e-01
24.870	2.214460e-01
24.930	2.201466e-01
24.990	2.188371e-01
25.050	2.175380e-01
25.110	2.162693e-01
25.170	2.150106e-01
25.230	2.137420e-01
25.290	2.124834e-01
25.350	2.112543e-01
25.410	2.100349e-01
25.470	2.088058e-01
25.530	2.075864e-01
25.590	2.063955e-01
25.650	2.052140e-01
25.710	2.040230e-01
25.770	2.028415e-01
25.830	2.016693e-01
25.890	2.005244e-01
25.950	1.993884e-01
26.010	1.982433e-01
26.070	1.971073e-01
26.130	1.959977e-01
26.190	1.948967e-01
26.250	1.937868e-01
26.310	1.926857e-01
26.370	1.916101e-01
26.430	1.905429e-01
26.490	1.894671e-01
26.550	1.883996e-01
26.610	1.873570e-01
26.670	1.863223e-01
26.730	1.852793e-01
26.790	1.842444e-01
26.850	1.832334e-01
26.910	1.822302e-01
26.970	1.812189e-01
27.030	1.802154e-01
27.090	1.792196e-01
27.150	1.782468e-01
27.210	1.772814e-01
27.270	1.763082e-01
27.330	1.753425e-01
27.390	1.743990e-01
27.450	1.734627e-01
27.510	1.725187e-01
27.570	1.715820e-01
27.630	1.706668e-01
27.690	1.697585e-01
27.750	1.688428e-01
27.810	1.679340e-01
27.870	1.670462e-01
27.930	1.661650e-01
27.990	1.652765e-01
28.050	1.643948e-01
28.110	1.635197e-01
28.170	1.626647e-01
28.230	1.618161e-01
28.290	1.609604e-01
28.350	1.601112e-01
28.410	1.592815e-01
28.470	1.584579e-01
28.530	1.576274e-01
28.590	1.568032e-01
28.650	1.559978e-01
28.710	1.551984e-01
28.770	1.543922e-01
28.830	1.535921e-01
28.890	1.528103e-01
28.950	1.520342e-01
29.010	1.512516e-01
29.070	1.504747e-01
29.130	1.497156e-01
29.190	1.489621e-01
29.250	1.482022e-01
29.310	1.474478e-01
29.370	1.466991e-01
29.430	1.459673e-01
29.490	1.452409e-01
29.550	1.445083e-01
29.610	1.437811e-01
29.670	1.430704e-01
29.730	1.423649e-01
29.790	1.416533e-01
29.850	1.409469e-01
29.910	1.402565e-01
29.970	1.395711e-01
30.030	1.388797e-01
30.090	1.381931e-01
30.150	1.375221e-01
30.210	1.368559e-01
30.270	1.361840e-01
30.330	1.355169e-01
30.390	1.348649e-01
30.450	1.342175e-01
30.510	1.335646e-01
30.570	1.329163e-01
30.630	1.322726e-01
30.690	1.316435e-01
